store_nbr,item_nbr,family,avg_sales,std_sales,n_days
24,257847,BEVERAGES,197.99,82.05,182
24,409904,GROCERY I,2.15,2.19,182
26,584028,MEATS,78.55,35.04,182
26,740723,CLEANING,0.58,0.85,182
27,839362,BEVERAGES,98.58,81.76,182
27,1503854,PRODUCE,1.31,2.16,182
28,771156,CLEANING,1.2,1.65,182
28,812751,"LIQUOR,WINE,BEER",109.6,356.57,182
30,1167614,EGGS,57.91,37.64,182
30,1457182,HOME CARE,0.25,0.64,182
32,1167614,EGGS,73.02,34.0,182
32,1386506,HOME AND KITCHEN I,0.07,0.29,182
34,807493,BEVERAGES,125.02,64.12,182
34,1239800,DAIRY,1.21,1.39,182
35,1161572,GROCERY I,60.03,27.64,182
35,1903428,AUTOMOTIVE,0.13,0.4,182
36,807493,BEVERAGES,65.09,32.62,182
36,953609,CLEANING,0.9,1.24,182
51,257847,BEVERAGES,240.5,102.53,182
51,1214325,CLEANING,2.49,4.27,182
